Date,Close,Open,High,Low,PE
1997/8/22,923.539978,925.049988,925.049988,905.419983,32.58
1997/8/25,920.159973,923.549988,930.929993,917.289978,32.58
1997/8/26,913.02002,920.159973,922.469971,911.719971,32.58
1997/8/27,913.700012,913.02002,916.22998,903.830017,32.58
1997/8/28,903.669983,913.700012,915.900024,898.650024,32.58
1997/8/29,899.469971,903.669983,907.280029,896.820007,32.58
1997/9/2,927.580017,899.469971,927.580017,899.469971,32.66
1997/9/3,927.859985,927.580017,935.900024,926.869995,32.66
1997/9/4,930.869995,927.859985,933.359985,925.590027,32.66
1997/9/5,929.049988,930.869995,940.369995,924.049988,32.66
1997/9/8,931.200012,929.049988,936.5,929.049988,32.66
1997/9/9,933.619995,931.200012,938.900024,927.280029,32.66
1997/9/10,919.030029,933.619995,933.619995,918.76001,32.66
1997/9/11,912.590027,919.030029,919.030029,902.559998,32.66
1997/9/12,923.909973,912.590027,925.049988,906.700012,32.66
1997/9/15,919.77002,923.909973,928.900024,919.409973,32.66
1997/9/16,945.640015,919.77002,947.659973,919.77002,32.66
1997/9/17,943,945.640015,950.289978,941.98999,32.66
1997/9/18,947.289978,943,958.190002,943,32.66
1997/9/19,950.51001,947.289978,952.349976,943.900024,32.66
1997/9/22,955.429993,950.51001,960.590027,950.51001,32.66
1997/9/23,951.929993,955.429993,955.780029,948.070007,32.66
1997/9/24,944.47998,951.929993,959.780029,944.070007,32.66
1997/9/25,937.909973,944.47998,947,937.380005,32.66
1997/9/26,945.219971,937.909973,946.440002,937.909973,32.66
1997/9/29,953.340027,945.219971,953.960022,941.940002,32.66
1997/9/30,947.280029,953.340027,955.169983,947.280029,32.66
1997/10/1,955.409973,947.280029,956.710022,947.280029,32.9
1997/10/2,960.460022,955.409973,960.460022,952.940002,32.9
1997/10/3,965.030029,960.460022,975.469971,955.130005,32.9
1997/10/6,972.690002,965.030029,974.159973,965.030029,32.9
1997/10/7,983.119995,972.690002,983.119995,971.950012,32.9
1997/10/8,973.840027,983.119995,983.119995,968.650024,32.9
1997/10/9,970.619995,973.840027,974.719971,963.340027,32.9
1997/10/10,966.97998,970.619995,970.619995,963.419983,32.9
1997/10/13,968.099976,966.97998,973.460022,966.950012,32.9
1997/10/14,970.280029,968.099976,972.859985,961.869995,32.9
1997/10/15,965.719971,970.280029,970.280029,962.75,32.9
1997/10/16,955.25,965.719971,973.380005,950.77002,32.9
1997/10/17,944.159973,955.22998,955.22998,931.580017,32.9
1997/10/20,955.609985,944.159973,955.719971,941.429993,32.9
1997/10/21,972.280029,955.609985,972.559998,955.609985,32.9
1997/10/22,968.48999,972.280029,972.609985,965.659973,32.9
1997/10/23,950.690002,968.48999,968.48999,944.159973,32.9
1997/10/24,941.640015,950.690002,960.039978,937.549988,32.9
1997/10/27,876.98999,941.640015,941.640015,876.72998,32.9
1997/10/28,921.849976,876.98999,923.090027,855.27002,32.9
